"","Player","Season","Cluster"
"1","A.J. Price","2009-10",5
"2","A.J. Price","2010-11",1
"3","A.J. Price","2011-12",1
"4","A.J. Price","2012-13",4
"5","A.J. Price","2013-14",1
"6","A.J. Price","2014-15",1
"7","Aaron Brooks","2007-08",4
"8","Aaron Brooks","2008-09",4
"9","Aaron Brooks","2009-10",17
"10","Aaron Brooks","2010-11",17
"11","Aaron Brooks","2012-13",4
"12","Aaron Brooks","2013-14",4
"13","Aaron Brooks","2014-15",4
"14","Aaron Gordon","2014-15",13
"15","Aaron Gray","2007-08",10
"16","Aaron Gray","2008-09",7
"17","Aaron Gray","2009-10",7
"18","Aaron Gray","2010-11",7
"19","Aaron Gray","2011-12",7
"20","Aaron Gray","2012-13",13
"21","Aaron Gray","2013-14",7
"22","Aaron McKie","2004-05",11
"23","Aaron McKie","2005-06",11
"24","Aaron McKie","2006-07",2
"25","Aaron Miles","2005-06",11
"26","Aaron Williams","2004-05",13
"27","Aaron Williams","2005-06",13
"28","Aaron Williams","2006-07",13
"29","Aaron Williams","2007-08",13
"30","Acie Law","2007-08",11
"31","Acie Law","2008-09",11
"32","Acie Law","2009-10",14
"33","Acie Law","2010-11",11
"34","Adam Morrison","2006-07",1
"35","Adam Morrison","2008-09",1
"36","Adam Morrison","2009-10",2
"37","Adonal Foyle","2004-05",13
"38","Adonal Foyle","2005-06",13
"39","Adonal Foyle","2006-07",13
"40","Adonal Foyle","2007-08",13
"41","Adonal Foyle","2008-09",7
"42","Adonis Thomas","2013-14",4
"43","Adreian Payne","2014-15",9
"44","Adrian Griffin","2004-05",9
"45","Adrian Griffin","2005-06",13
"46","Adrian Griffin","2006-07",9
"47","Adrian Griffin","2007-08",13
"48","Al Harrington","2004-05",14
"49","Al Harrington","2005-06",16
"50","Al Harrington","2006-07",18
"51","Al Harrington","2007-08",18
"52","Al Harrington","2008-09",17
"53","Al Harrington","2009-10",17
"54","Al Harrington","2010-11",5
"55","Al Harrington","2011-12",18
"56","Al Harrington","2012-13",5
"57","Al Harrington","2013-14",5
"58","Al Horford","2007-08",7
"59","Al Horford","2008-09",7
"60","Al Horford","2009-10",9
"61","Al Horford","2010-11",9
"62","Al Horford","2011-12",9
"63","Al Horford","2012-13",9
"64","Al Horford","2013-14",12
"65","Al Horford","2014-15",9
"66","Al Jefferson","2004-05",10
"67","Al Jefferson","2005-06",10
"68","Al Jefferson","2006-07",12
"69","Al Jefferson","2007-08",12
"70","Al Jefferson","2008-09",12
"71","Al Jefferson","2009-10",12
"72","Al Jefferson","2010-11",12
"73","Al Jefferson","2011-12",12
"74","Al Jefferson","2012-13",12
"75","Al Jefferson","2013-14",12
"76","Al Jefferson","2014-15",12
"77","Al Thornton","2007-08",16
"78","Al Thornton","2008-09",14
"79","Al Thornton","2009-10",14
"80","Al Thornton","2010-11",14
"81","Al-Farouq Aminu","2010-11",18
"82","Al-Farouq Aminu","2011-12",13
"83","Al-Farouq Aminu","2012-13",7
"84","Al-Farouq Aminu","2013-14",13
"85","Al-Farouq Aminu","2014-15",18
"86","Alan Anderson","2005-06",11
"87","Alan Anderson","2006-07",11
"88","Alan Anderson","2011-12",4
"89","Alan Anderson","2012-13",5
"90","Alan Anderson","2013-14",4
"91","Alan Anderson","2014-15",4
"92","Alan Henderson","2004-05",13
"93","Alan Henderson","2005-06",13
"94","Alan Henderson","2006-07",13
"95","Alando Tucker","2007-08",14
"96","Alando Tucker","2008-09",14
"97","Alando Tucker","2009-10",6
"98","Alec Burks","2011-12",14
"99","Alec Burks","2012-13",14
"100","Alec Burks","2013-14",14
"101","Alec Burks","2014-15",14
"102","Aleksandar Radojevic","2004-05",13
"103","Alex Acker","2005-06",1
"104","Alex Acker","2008-09",1
"105","Alex Garcia","2004-05",4
"106","Alex Kirk","2014-15",14
"107","Alex Len","2013-14",13
"108","Alex Len","2014-15",7
"109","Alexander Johnson","2006-07",10
"110","Alexander Johnson","2007-08",14
"111","Alexey Shved","2012-13",4
"112","Alexey Shved","2013-14",17
"113","Alexey Shved","2014-15",17
"114","Alexis Ajinca","2008-09",16
"115","Alexis Ajinca","2009-10",13
"116","Alexis Ajinca","2010-11",9
"117","Alexis Ajinca","2013-14",13
"118","Alexis Ajinca","2014-15",7
"119","Allan Houston","2004-05",1
"120","Allan Ray","2006-07",1
"121","Allen Crabbe","2013-14",4
"122","Allen Crabbe","2014-15",4
"123","Allen Iverson","2004-05",6
"124","Allen Iverson","2005-06",6
"125","Allen Iverson","2006-07",6
"126","Allen Iverson","2007-08",6
"127","Allen Iverson","2008-09",14
"128","Allen Iverson","2009-10",16
"129","Alonzo Gee","2009-10",14
"130","Alonzo Gee","2010-11",11
"131","Alonzo Gee","2011-12",14
"132","Alonzo Gee","2012-13",11
"133","Alonzo Gee","2013-14",11
"134","Alonzo Gee","2014-15",11
"135","Alonzo Mourning","2004-05",10
"136","Alonzo Mourning","2005-06",10
"137","Alonzo Mourning","2006-07",10
"138","Alonzo Mourning","2007-08",10
"139","Alvin Williams","2005-06",18
"140","Alvin Williams","2006-07",6
"141","Amar'e Stoudemire","2004-05",6
"142","Amar'e Stoudemire","2005-06",12
"143","Amar'e Stoudemire","2006-07",12
"144","Amar'e Stoudemire","2007-08",12
"145","Amar'e Stoudemire","2008-09",12
"146","Amar'e Stoudemire","2009-10",12
"147","Amar'e Stoudemire","2010-11",12
"148","Amar'e Stoudemire","2011-12",12
"149","Amar'e Stoudemire","2012-13",10
"150","Amar'e Stoudemire","2013-14",12
"151","Amar'e Stoudemire","2014-15",10
"152","Amir Johnson","2005-06",11
"153","Amir Johnson","2006-07",7
"154","Amir Johnson","2007-08",7
"155","Amir Johnson","2008-09",13
"156","Amir Johnson","2009-10",13
"157","Amir Johnson","2010-11",13
"158","Amir Johnson","2011-12",13
"159","Amir Johnson","2012-13",13
"160","Amir Johnson","2013-14",13
"161","Amir Johnson","2014-15",13
"162","Anderson Varejao","2004-05",10
"163","Anderson Varejao","2005-06",10
"164","Anderson Varejao","2006-07",10
"165","Anderson Varejao","2007-08",7
"166","Anderson Varejao","2008-09",13
"167","Anderson Varejao","2009-10",7
"168","Anderson Varejao","2010-11",7
"169","Anderson Varejao","2011-12",7
"170","Anderson Varejao","2012-13",7
"171","Anderson Varejao","2013-14",7
"172","Anderson Varejao","2014-15",9
"173","Andray Blatche","2005-06",9
"174","Andray Blatche","2006-07",13
"175","Andray Blatche","2007-08",9
"176","Andray Blatche","2008-09",9
"177","Andray Blatche","2009-10",12
"178","Andray Blatche","2010-11",12
"179","Andray Blatche","2011-12",12
"180","Andray Blatche","2012-13",12
"181","Andray Blatche","2013-14",12
"182","Andre Barrett","2004-05",4
"183","Andre Barrett","2005-06",2
"184","Andre Barrett","2006-07",9
"185","Andre Barrett","2007-08",4
"186","Andre Brown","2006-07",13
"187","Andre Brown","2007-08",10
"188","Andre Brown","2008-09",13
"189","Andre Dawkins","2014-15",5
"190","Andre Drummond","2012-13",7
"191","Andre Drummond","2013-14",7
"192","Andre Drummond","2014-15",7
"193","Andre Emmett","2004-05",14
"194","Andre Emmett","2011-12",14
"195","Andre Iguodala","2004-05",11
"196","Andre Iguodala","2005-06",11
"197","Andre Iguodala","2006-07",14
"198","Andre Iguodala","2007-08",14
"199","Andre Iguodala","2008-09",14
"200","Andre Iguodala","2009-10",17
"201","Andre Iguodala","2010-11",14
"202","Andre Iguodala","2011-12",18
"203","Andre Iguodala","2012-13",18
"204","Andre Iguodala","2013-14",11
"205","Andre Iguodala","2014-15",11
"206","Andre Miller","2004-05",14
"207","Andre Miller","2005-06",14
"208","Andre Miller","2006-07",2
"209","Andre Miller","2007-08",16
"210","Andre Miller","2008-09",14
"211","Andre Miller","2009-10",14
"212","Andre Miller","2010-11",14
"213","Andre Miller","2011-12",14
"214","Andre Miller","2012-13",14
"215","Andre Miller","2013-14",11
"216","Andre Miller","2014-15",11
"217","Andre Owens","2005-06",2
"218","Andre Owens","2007-08",11
"219","Andre Roberson","2013-14",13
"220","Andre Roberson","2014-15",11
"221","Andrea Bargnani","2006-07",1
"222","Andrea Bargnani","2007-08",1
"223","Andrea Bargnani","2008-09",18
"224","Andrea Bargnani","2009-10",18
"225","Andrea Bargnani","2010-11",16
"226","Andrea Bargnani","2011-12",16
"227","Andrea Bargnani","2012-13",1
"228","Andrea Bargnani","2013-14",16
"229","Andrea Bargnani","2014-15",16
"230","Andreas Glyniadakis","2006-07",11
"231","Andrei Kirilenko","2004-05",14
"232","Andrei Kirilenko","2005-06",14
"233","Andrei Kirilenko","2006-07",14
"234","Andrei Kirilenko","2007-08",14
"235","Andrei Kirilenko","2008-09",14
"236","Andrei Kirilenko","2009-10",14
"237","Andrei Kirilenko","2010-11",14
"238","Andrei Kirilenko","2012-13",14
"239","Andrei Kirilenko","2013-14",14
"240","Andrei Kirilenko","2014-15",10
"241","Andres Nocioni","2004-05",14
"242","Andres Nocioni","2005-06",18
"243","Andres Nocioni","2006-07",18
"244","Andres Nocioni","2007-08",17
"245","Andres Nocioni","2008-09",18
"246","Andres Nocioni","2009-10",18
"247","Andres Nocioni","2010-11",18
"248","Andres Nocioni","2011-12",12
"249","Andrew Bogut","2005-06",13
"250","Andrew Bogut","2006-07",7
"251","Andrew Bogut","2007-08",10
"252","Andrew Bogut","2008-09",7
"253","Andrew Bogut","2009-10",7
"254","Andrew Bogut","2010-11",7
"255","Andrew Bogut","2011-12",7
"256","Andrew Bogut","2012-13",7
"257","Andrew Bogut","2013-14",7
"258","Andrew Bogut","2014-15",7
"259","Andrew Bynum","2005-06",13
"260","Andrew Bynum","2006-07",10
"261","Andrew Bynum","2007-08",7
"262","Andrew Bynum","2008-09",10
"263","Andrew Bynum","2009-10",10
"264","Andrew Bynum","2010-11",7
"265","Andrew Bynum","2011-12",7
"266","Andrew Bynum","2013-14",9
"267","Andrew DeClercq","2004-05",13
"268","Andrew Goudelock","2011-12",1
"269","Andrew Goudelock","2012-13",4
"270","Andrew Nicholson","2012-13",9
"271","Andrew Nicholson","2013-14",9
"272","Andrew Nicholson","2014-15",2
"273","Andrew Wiggins","2014-15",14
"274","Andris Biedrins","2004-05",7
"275","Andris Biedrins","2005-06",13
"276","Andris Biedrins","2006-07",7
"277","Andris Biedrins","2007-08",7
"278","Andris Biedrins","2008-09",7
"279","Andris Biedrins","2009-10",7
"280","Andris Biedrins","2010-11",7
"281","Andris Biedrins","2011-12",13
"282","Andris Biedrins","2012-13",7
"283","Andris Biedrins","2013-14",7
"284","Andy Rautins","2010-11",17
"285","Anfernee Hardaway","2004-05",2
"286","Anfernee Hardaway","2005-06",2
"287","Anfernee Hardaway","2007-08",11
"288","Ansu Sesay","2004-05",12
"289","Antawn Jamison","2004-05",16
"290","Antawn Jamison","2005-06",16
"291","Antawn Jamison","2006-07",18
"292","Antawn Jamison","2007-08",12
"293","Antawn Jamison","2008-09",12
"294","Antawn Jamison","2009-10",18
"295","Antawn Jamison","2010-11",18
"296","Antawn Jamison","2011-12",16
"297","Antawn Jamison","2012-13",18
"298","Antawn Jamison","2013-14",18
"299","Anthony Bennett","2013-14",9
"300","Anthony Bennett","2014-15",9
"301","Anthony Carter","2004-05",2
"302","Anthony Carter","2005-06",2
"303","Anthony Carter","2006-07",2
"304","Anthony Carter","2007-08",11
"305","Anthony Carter","2008-09",11
"306","Anthony Carter","2009-10",11
"307","Anthony Carter","2010-11",11
"308","Anthony Carter","2011-12",11
"309","Anthony Davis","2012-13",12
"310","Anthony Davis","2013-14",12
"311","Anthony Davis","2014-15",12
"312","Anthony Goldwire","2004-05",4
"313","Anthony Goldwire","2005-06",2
"314","Anthony Grundy","2005-06",17
"315","Anthony Johnson","2004-05",2
"316","Anthony Johnson","2005-06",2
"317","Anthony Johnson","2006-07",2
"318","Anthony Johnson","2007-08",11
"319","Anthony Johnson","2008-09",11
"320","Anthony Johnson","2009-10",4
"321","Anthony Miller","2004-05",11
"322","Anthony Morrow","2008-09",1
"323","Anthony Morrow","2009-10",4
"324","Anthony Morrow","2010-11",1
"325","Anthony Morrow","2011-12",1
"326","Anthony Morrow","2012-13",1
"327","Anthony Morrow","2013-14",1
"328","Anthony Morrow","2014-15",5
"329","Anthony Parker","2006-07",4
"330","Anthony Parker","2007-08",4
