"","Player","Season","Cluster"
"1","Aaron McKie","2004-05",18
"2","Aaron Williams","2004-05",20
"3","Adonal Foyle","2004-05",20
"4","Adrian Griffin","2004-05",12
"5","Al Harrington","2004-05",16
"6","Al Jefferson","2004-05",23
"7","Alan Henderson","2004-05",7
"8","Aleksandar Radojevic","2004-05",7
"9","Alex Garcia","2004-05",18
"10","Allan Houston","2004-05",9
"11","Allen Iverson","2004-05",24
"12","Alonzo Mourning","2004-05",23
"13","Amar'e Stoudemire","2004-05",4
"14","Anderson Varejao","2004-05",23
"15","Andre Barrett","2004-05",19
"16","Andre Emmett","2004-05",3
"17","Andre Iguodala","2004-05",18
"18","Andre Miller","2004-05",2
"19","Andrei Kirilenko","2004-05",3
"20","Andres Nocioni","2004-05",15
"21","Andrew DeClercq","2004-05",7
"22","Andris Biedrins","2004-05",7
"23","Anfernee Hardaway","2004-05",8
"24","Ansu Sesay","2004-05",16
"25","Antawn Jamison","2004-05",2
"26","Anthony Carter","2004-05",21
"27","Anthony Goldwire","2004-05",10
"28","Anthony Johnson","2004-05",19
"29","Anthony Miller","2004-05",5
"30","Anthony Peeler","2004-05",8
"31","Antoine Walker","2004-05",15
"32","Antonio Burks","2004-05",19
"33","Antonio Daniels","2004-05",9
"34","Antonio Davis","2004-05",20
"35","Antonio McDyess","2004-05",12
"36","Austin Croshere","2004-05",15
"37","Awvee Storey","2004-05",2
"38","Baron Davis","2004-05",11
"39","Ben Gordon","2004-05",9
"40","Ben Handlogten","2004-05",20
"41","Ben Wallace","2004-05",23
"42","Beno Udrih","2004-05",19
"43","Bernard Robinson","2004-05",3
"44","Billy Thomas","2004-05",10
"45","Bo Outlaw","2004-05",20
"46","Bob Sura","2004-05",18
"47","Bobby Jackson","2004-05",9
"48","Bobby Simmons","2004-05",2
"49","Bonzi Wells","2004-05",15
"50","Boris Diaw","2004-05",21
"51","Bostjan Nachbar","2004-05",10
"52","Brad Miller","2004-05",16
"53","Brandin Knight","2004-05",5
"54","Brandon Hunter","2004-05",23
"55","Brendan Haywood","2004-05",23
"56","Brent Barry","2004-05",10
"57","Brevin Knight","2004-05",2
"58","Brian Cardinal","2004-05",15
"59","Brian Cook","2004-05",17
"60","Brian Grant","2004-05",20
"61","Brian Scalabrine","2004-05",15
"62","Brian Skinner","2004-05",23
"63","Britton Johnsen","2004-05",21
"64","Bruce Bowen","2004-05",18
"65","Bruno Sundov","2004-05",22
"66","Bryon Russell","2004-05",10
"67","Calbert Cheaney","2004-05",21
"68","Calvin Booth","2004-05",20
"69","Carlos Arroyo","2004-05",2
"70","Carlos Boozer","2004-05",16
"71","Carlos Delfino","2004-05",18
"72","Carmelo Anthony","2004-05",24
"73","Caron Butler","2004-05",15
"74","Casey Jacobsen","2004-05",18
"75","Charlie Ward","2004-05",10
"76","Chauncey Billups","2004-05",9
"77","Chris Andersen","2004-05",23
"78","Chris Bosh","2004-05",16
"79","Chris Duhon","2004-05",18
"80","Chris Kaman","2004-05",20
"81","Chris Mihm","2004-05",23
"82","Chris Webber","2004-05",22
"83","Chris Wilcox","2004-05",23
"84","Christian Laettner","2004-05",12
"85","Chucky Atkins","2004-05",10
"86","Clar. Weatherspoon","2004-05",20
"87","Clifford Robinson","2004-05",19
"88","Corey Maggette","2004-05",24
"89","Corliss Williamson","2004-05",16
"90","Corsley Edwards","2004-05",20
"91","Cory Alexander","2004-05",18
"92","Curtis Borchardt","2004-05",20
"93","Cuttino Mobley","2004-05",9
"94","Dahntay Jones","2004-05",18
"95","Dajuan Wagner","2004-05",11
"96","Dale Davis","2004-05",20
"97","Damien Wilkins","2004-05",18
"98","Damon Jones","2004-05",10
"99","Damon Stoudamire","2004-05",9
"100","Damone Brown","2004-05",8
"101","Dan Dickau","2004-05",9
"102","Dan Gadzuric","2004-05",23
"103","Daniel Santiago","2004-05",20
"104","Danny Fortson","2004-05",6
"105","Darius Miles","2004-05",12
"106","Darius Songaila","2004-05",12
"107","Darko Milicic","2004-05",12
"108","Darrell Armstrong","2004-05",19
"109","Darrick Martin","2004-05",19
"110","Darvin Ham","2004-05",3
"111","David Harrison","2004-05",3
"112","David Wesley","2004-05",19
"113","David West","2004-05",12
"114","Delonte West","2004-05",18
